Country;"Sub ID 2";"Sub ID 4";"Sub ID 5";"Offer ID";Offer;OS;Clicks;"UC (campaign)";Conv.;Sales;Revenue
India;;;;363;"WWL Smartlink";GNU/Linux;6;6;0;0;0
India;;;;363;"WWL Smartlink";"OS X";2;2;0;0;0
India;;;;363;"WWL Smartlink";Windows;4;4;0;0;0
India;120234674416420622;967963594272118;"IN_58 [CrazyTime]";11085;"IN | Crorebet | Cricket Road | CPA | 10 USD | 300 INR | total | 40 | Android | ALL |  |  | KPI Yes | MbManada | Falcons";Android;5;0;1;0;0
India;120236861000780680;1080688293328849;"🇮🇳 IN_83 [TowerRush]";12832;"IN | LineBet | RegForm (Slot) | CPA | 25 USD | 95 INR | total | 50 | Android | ALL |  |  | KPI Yes | MbManada | Falcons";Android;2;1;0;0;0
India;120236991556250253;2818005378422035;IN_56_[CrazyTime];10507;"IN | LuckyStart | Reg Form | CPA | 18 USD | 300 INR | total | 50 | Android | ALL |  |  | KPI No | MbManada | | mbMadness";Android;2;0;0;0;0
India;120238005464440437;994546068364567;"IN_58 [CrazyTime]";10370;"IN | LuckyStart | Reg Form (Live) | CPA | 25 USD | 300 INR | total | 200 | Android | ALL |  |  | KPI No | All | All";Android;1;0;0;0;0
India;120238189309300687;4118817255055494;"🇸🇬 SG_4 [Olympus] [https://play-city-app.site]";12803;"IN | Kazmit | RegForm (fortune games) | CPA | 20 USD | 300 INR | total | 50 | Android | ALL |  |  | KPI Yes | MbManada | Falcons";Android;3;1;0;0;0
India;120238454771000093;1647776592516269;IN_58_[CrazyTime];10476;"IN | LuckyStart | Reg Form | CPA | 20 USD | 300 INR | total | 200 | Android | ALL |  |  | KPI No | MbManada | Falcons";Android;1;0;0;0;0
India;120238454771060093;1647776592516269;"IN_56 [CrazyTime]";12241;"IN | tez888 | RegForm | CPA | 30 USD | 500 INR | Android | ALL |  |  | KPI Yes | MbManada | Falcons";Android;1;1;0;0;0
India;120238523456760093;1647776592516269;"IN_56 [CrazyTime]";10476;"IN | LuckyStart | Reg Form | CPA | 20 USD | 300 INR | total | 200 | Android | ALL |  |  | KPI No | MbManada | Falcons";Android;2;0;0;0;0
India;120238616927130093;1647776592516269;IN_58_[CrazyTime];10497;"IN | LuckyStart | Reg Form | CPA | 15 USD | 300 INR | total | 100 | Android | ALL |  |  | KPI No | MbManada | Falcons";Android;1;0;0;0;0
India;120238616927360093;1647776592516269;IN_56_[CrazyTime];10476;"IN | LuckyStart | Reg Form | CPA | 20 USD | 300 INR | total | 200 | Android | ALL |  |  | KPI No | MbManada | Falcons";Android;1;0;1;0;0
India;120238616927820093;1647776592516269;"IN_58 [CrazyTime]";10476;"IN | LuckyStart | Reg Form | CPA | 20 USD | 300 INR | total | 200 | Android | ALL |  |  | KPI No | MbManada | Falcons";Android;1;1;0;0;0
India;120238708635260093;1647776592516269;IN_58_[CrazyTime];10501;"IN | LuckyStart | Reg Form | CPA | 17 USD | 300 INR | total | 100 | Android | ALL |  |  | KPI No | MbManada | | MbBulka";Android;1;0;0;0;0
India;120238708635600093;1647776592516269;"IN_57 [CrazyTime]";10501;"IN | LuckyStart | Reg Form | CPA | 17 USD | 300 INR | total | 100 | Android | ALL |  |  | KPI No | MbManada | | MbBulka";Android;6;1;0;0;0
India;120238708635740093;1647776592516269;"IN_57 [CrazyTime]";10501;"IN | LuckyStart | Reg Form | CPA | 17 USD | 300 INR | total | 100 | Android | ALL |  |  | KPI No | MbManada | | MbBulka";Android;5;1;0;0;0
India;120238708656470093;1647776592516269;IN_57_[CrazyTime];10501;"IN | LuckyStart | Reg Form | CPA | 17 USD | 300 INR | total | 100 | Android | ALL |  |  | KPI No | MbManada | | MbBulka";Android;2;1;0;0;0
India;120238708656510093;1647776592516269;"IN_56 [CrazyTime]";10500;"IN | LuckyStart | Reg Form | CPA | 17 USD | 300 INR | total | 100 | Android | ALL |  |  | KPI No | MbManada | Falcons";Android;4;2;0;0;0
India;120238708656590093;1647776592516269;"IN_57 [CrazyTime]";10500;"IN | LuckyStart | Reg Form | CPA | 17 USD | 300 INR | total | 100 | Android | ALL |  |  | KPI No | MbManada | Falcons";Android;19;3;0;0;0
India;120238708656590093;1647776592516269;IN_57_[CrazyTime];10500;"IN | LuckyStart | Reg Form | CPA | 17 USD | 300 INR | total | 100 | Android | ALL |  |  | KPI No | MbManada | Falcons";Android;3;1;0;0;0
India;120238709199490093;1647776592516269;"IN_56 [CrazyTime]";10500;"IN | LuckyStart | Reg Form | CPA | 17 USD | 300 INR | total | 100 | Android | ALL |  |  | KPI No | MbManada | Falcons";Android;2;0;0;0;0
India;120238709199490093;1647776592516269;"IN_57 [CrazyTime]";12241;"IN | tez888 | RegForm | CPA | 30 USD | 500 INR | Android | ALL |  |  | KPI Yes | MbManada | Falcons";Android;1;0;0;0;0
India;120238785149650093;1647776592516269;"IN_57 [CrazyTime]";10509;"IN | LuckyStart | Reg Form | CPA | 16 USD | 300 INR | total | 100 | Android | ALL |  |  | KPI No | MbManada | | mbShurup";Android;3;1;0;0;0
India;120238827148840093;1647776592516269;"IN_56 [CrazyTime]";12241;"IN | tez888 | RegForm | CPA | 30 USD | 500 INR | Android | ALL |  |  | KPI Yes | MbManada | Falcons";Android;1;1;0;0;0
India;120238827149680093;1647776592516269;"IN_56 [CrazyTime]";12241;"IN | tez888 | RegForm | CPA | 30 USD | 500 INR | Android | ALL |  |  | KPI Yes | MbManada | Falcons";Android;4;0;0;0;0
India;120238967877310093;1647776592516269;"IN_56 [CrazyTime]";10526;"IN | LuckyStart | Reg Form | CPA | 17 USD | 300 INR | total | 50 | Android | ALL |  |  | KPI No | MbManada";Android;4;1;0;0;0
India;120238967877670093;1647776592516269;IN_56_[CrazyTime];10497;"IN | LuckyStart | Reg Form | CPA | 15 USD | 300 INR | total | 100 | Android | ALL |  |  | KPI No | MbManada | Falcons";Android;1;0;0;0;0
India;120238969009540093;1647776592516269;IN_56_[CrazyTime];10497;"IN | LuckyStart | Reg Form | CPA | 15 USD | 300 INR | total | 100 | Android | ALL |  |  | KPI No | MbManada | Falcons";Android;1;0;0;0;0
India;120239049114280093;1647776592516269;IN_58_[CrazyTime];10523;"IN | LuckyStart | Reg Form | CPA | 17 USD | 300 INR | total | 50 | Android | ALL |  |  | KPI No | MbManada | | MbAnar";Android;1;0;0;0;0
India;120239049114500093;1647776592516269;IN_56_[CrazyTime];10533;"IN | LuckyStart | Reg Form | CPA | 15 USD | 300 INR | total | 200 | Android | ALL |  |  | KPI No | MbManada | Falcons";Android;2;1;0;0;0
India;120239049114520093;1647776592516269;IN_57_[CrazyTime];10533;"IN | LuckyStart | Reg Form | CPA | 15 USD | 300 INR | total | 200 | Android | ALL |  |  | KPI No | MbManada | Falcons";Android;2;0;0;0;0
India;120239049115140093;1647776592516269;"IN_56 [CrazyTime]";12241;"IN | tez888 | RegForm | CPA | 30 USD | 500 INR | Android | ALL |  |  | KPI Yes | MbManada | Falcons";Android;1;0;0;0;0
India;120239050258570093;1647776592516269;"IN_56 [CrazyTime]";10533;"IN | LuckyStart | Reg Form | CPA | 15 USD | 300 INR | total | 200 | Android | ALL |  |  | KPI No | MbManada | Falcons";Android;3;0;0;0;0
India;120239050258800093;1647776592516269;"IN_57 [CrazyTime]";12241;"IN | tez888 | RegForm | CPA | 30 USD | 500 INR | Android | ALL |  |  | KPI Yes | MbManada | Falcons";Android;2;0;0;0;0
India;120239122526120093;1647776592516269;"IN_57 [CrazyTime]";12241;"IN | tez888 | RegForm | CPA | 30 USD | 500 INR | Android | ALL |  |  | KPI Yes | MbManada | Falcons";Android;1;1;0;0;0
