Country,"Account ID","Campaign ID","Ad name",Currency,"Amount spent (USD)",Leads,"Cost per lead","Registrations completed","Cost per registration completed","CTR (all)","CPM (cost per 1,000 impressions)",Reach,Impressions,Frequency,"Reporting starts","Reporting ends"
,,,,USD,6704.20530822,1381,4.85460196,640,10.47532079,1.34487886,18.35948688,243166,365163,1.50170254,2026-07-01,2026-07-16
IN,1641083631350576,120246207774920106,"🇮🇳 IN_93 [FortuneGems]",USD,1.08,,,,,0,4.02985075,267,268,1.00374532,2026-07-01,2026-07-16
IN,1641083631350576,120246208615280106,"🇮🇳 IN_93 [FortuneGems]",USD,1.37,,,,,0,4.37699681,313,313,1,2026-07-01,2026-07-16
IN,1641083631350576,120246208615230106,"🇮🇳 IN_93 [FortuneGems]",USD,1.39,1,1.39,1,1.39,0.63694268,4.42675159,314,314,1,2026-07-01,2026-07-16
IN,1641083631350576,120246208615460106,"🇮🇳 IN_92 [FortuneGems]",USD,2.61,2,1.305,1,2.61,0.6993007,9.12587413,286,286,1,2026-07-01,2026-07-16
IN,1641083631350576,120246208615240106,"🇮🇳 IN_92 [FortuneGems]",USD,2.36,1,2.36,,,1.49812734,8.83895131,264,267,1.01136364,2026-07-01,2026-07-16
IN,1641083631350576,120246208615410106,"🇮🇳 IN_93 [FortuneGems]",USD,1.8,,,,,0.43859649,7.89473684,226,228,1.00884956,2026-07-01,2026-07-16
IN,1641083631350576,120246208615200106,"🇮🇳 IN_92 [FortuneGems]",USD,1.2,1,1.2,,,0.37807183,2.268431,521,529,1.01535509,2026-07-01,2026-07-16
IN,1641083631350576,120246208615380106,"🇮🇳 IN_92 [FortuneGems]",USD,1.64,1,1.64,1,1.64,0.66006601,5.41254125,300,303,1.01,2026-07-01,2026-07-16
IN,1641083631350576,120246208615390106,"🇮🇳 IN_93 [FortuneGems]",USD,1.4,,,,,0.51813472,7.25388601,189,193,1.02116402,2026-07-01,2026-07-16
IN,1641083631350576,120246208615180106,"🇮🇳 IN_93 [FortuneGems]",USD,1.28,1,1.28,,,1.41843972,4.53900709,282,282,1,2026-07-01,2026-07-16
IN,1641083631350576,120246208615390106,"🇮🇳 IN_92 [FortuneGems]",USD,9.11,10,0.911,4,2.2775,1.11940299,3.77694859,2370,2412,1.01772152,2026-07-01,2026-07-16
IN,1641083631350576,120246232798060106,"🇮🇳 IN_92 [FortuneGems]",USD,0.26,,,,,4.54545455,11.81818182,22,22,1,2026-07-01,2026-07-16
IN,1641083631350576,120246232813390106,"🇮🇳 IN_92 [FortuneGems]",USD,0.37,,,,,0,10.88235294,33,34,1.03030303,2026-07-01,2026-07-16
IN,1641083631350576,120246232813350106,"🇮🇳 IN_92 [FortuneGems]",USD,3.45,3,1.15,2,1.725,1.74081238,6.67311412,511,517,1.01174168,2026-07-01,2026-07-16
IN,1641083631350576,120246232813380106,"🇮🇳 IN_92 [FortuneGems]",USD,0.97,,,,,0,4.07563025,235,238,1.01276596,2026-07-01,2026-07-16
IN,1641083631350576,120246232813300106,"🇮🇳 IN_92 [FortuneGems]",USD,4.09,1,4.09,1,4.09,2.14285714,9.73809524,415,420,1.01204819,2026-07-01,2026-07-16
IN,1641083631350576,120246232813420106,"🇮🇳 IN_92 [FortuneGems]",USD,3.88,1,3.88,1,3.88,1.15089514,4.96163683,760,782,1.02894737,2026-07-01,2026-07-16
IN,1641083631350576,120246232813360106,"🇮🇳 IN_92 [FortuneGems]",USD,2.69,5,0.538,2,1.345,0.84626234,3.79407616,687,709,1.03202329,2026-07-01,2026-07-16
IN,1641083631350576,120246232813090106,"🇮🇳 IN_92 [FortuneGems]",USD,2.12,,,,,0.65217391,4.60869565,455,460,1.01098901,2026-07-01,2026-07-16
IN,1641083631350576,120246232813400106,"🇮🇳 IN_92 [FortuneGems]",USD,22.05,23,0.95869565,9,2.45,2.40831965,12.06896552,1732,1827,1.05484988,2026-07-01,2026-07-16
IN,1641083631350576,120246232813320106,"🇮🇳 IN_92 [FortuneGems]",USD,1.28,,,,,1.42857143,4.57142857,275,280,1.01818182,2026-07-01,2026-07-16
IN,1641083631350576,120246232813310106,"🇮🇳 IN_92 [FortuneGems]",USD,3.2,,,,,1.23762376,7.92079208,390,404,1.03589744,2026-07-01,2026-07-16
IN,1641083631350576,120246232813340106,"🇮🇳 IN_92 [FortuneGems]",USD,5.56,3,1.85333333,,,1.8549747,9.37605396,585,593,1.01367521,2026-07-01,2026-07-16
IN,1641083631350576,120246232813370106,"🇮🇳 IN_92 [FortuneGems]",USD,1.86,,,,,1.6286645,6.05863192,307,307,1,2026-07-01,2026-07-16
IN,1641083631350576,120246232813330106,"🇮🇳 IN_92 [FortuneGems]",USD,2.6,,,,,1.45985401,6.32603406,404,411,1.01732673,2026-07-01,2026-07-16
IN,1641083631350576,120246240499830106,"🇮🇳 IN_92 [FortuneGems]",USD,1.48,,,,,1.95121951,7.2195122,198,205,1.03535354,2026-07-01,2026-07-16
IN,1641083631350576,120246244261040106,"🇮🇳 IN_93 [FortuneGems]",USD,0.65,,,,,0.70422535,2.28873239,281,284,1.01067616,2026-07-01,2026-07-16
IN,1641083631350576,120246244620800106,"🇮🇳 IN_92 [FortuneGems]",USD,1.41,1,1.41,1,1.41,1.0989011,5.16483516,263,273,1.03802281,2026-07-01,2026-07-16
IN,1641083631350576,120246244620410106,"🇮🇳 IN_92 [FortuneGems]",USD,2.19,3,0.73,,,3.24324324,11.83783784,178,185,1.03932584,2026-07-01,2026-07-16
IN,1641083631350576,120246244620680106,"🇮🇳 IN_92 [FortuneGems]",USD,0.93,3,0.31,1,0.93,2.92887029,3.89121339,237,239,1.00843882,2026-07-01,2026-07-16
IN,1641083631350576,120246244620930106,"🇮🇳 IN_92 [FortuneGems]",USD,1.49,,,,,2.13675214,6.36752137,227,234,1.030837,2026-07-01,2026-07-16
IN,1641083631350576,120246244620820106,"🇮🇳 IN_92 [FortuneGems]",USD,3.09,5,0.618,2,1.545,5.03144654,19.43396226,159,159,1,2026-07-01,2026-07-16
IN,1641083631350576,120246244620870106,"🇮🇳 IN_92 [FortuneGems]",USD,1.46,,,,,0.4587156,6.69724771,213,218,1.02347418,2026-07-01,2026-07-16
IN,1641083631350576,120246244620670106,"🇮🇳 IN_92 [FortuneGems]",USD,2.33,2,1.165,1,2.33,2.54237288,19.74576271,114,118,1.03508772,2026-07-01,2026-07-16
IN,1641083631350576,120246244620700106,"🇮🇳 IN_92 [FortuneGems]",USD,1.86,,,,,0.58139535,10.81395349,168,172,1.02380952,2026-07-01,2026-07-16
IN,1641083631350576,120246244620880106,"🇮🇳 IN_92 [FortuneGems]",USD,1.61,1,1.61,1,1.61,0.43859649,7.06140351,220,228,1.03636364,2026-07-01,2026-07-16
IN,1641083631350576,120246244621160106,"🇮🇳 IN_92 [FortuneGems]",USD,2.02,2,1.01,2,1.01,1.36054422,13.7414966,141,147,1.04255319,2026-07-01,2026-07-16
IN,1641083631350576,120246244620890106,"🇮🇳 IN_92 [FortuneGems]",USD,1.75,,,,,0,11.29032258,149,155,1.04026846,2026-07-01,2026-07-16
IN,1641083631350576,120246244620900106,"🇮🇳 IN_92 [FortuneGems]",USD,2.05,2,1.025,1,2.05,0.87336245,8.95196507,228,229,1.00438596,2026-07-01,2026-07-16
IN,1641083631350576,120246244620730106,"🇮🇳 IN_92 [FortuneGems]",USD,1.51,,,,,1.65745856,8.34254144,177,181,1.02259887,2026-07-01,2026-07-16
IN,1641083631350576,120246244620750106,"🇮🇳 IN_92 [FortuneGems]",USD,1.4,,,,,0.43103448,6.03448276,222,232,1.04504505,2026-07-01,2026-07-16
IN,1641083631350576,120246244620690106,"🇮🇳 IN_92 [FortuneGems]",USD,1.51,2,0.755,2,0.755,0.64308682,4.85530547,303,311,1.02640264,2026-07-01,2026-07-16
